id,county_id,year,population
1083,136,2010,12215
1084,136,2017,12055
1085,136,2015,12121
1086,136,2012,12170
1087,136,2013,12171
1088,136,2016,12039
1089,137,2016,98231
1090,137,2011,96834
1091,137,2010,96077
1092,137,2017,98658
1093,137,2013,97627
1094,137,2014,97720
1095,137,2015,97734
1096,137,2012,96969
1097,138,2011,17932
1098,138,2014,18069
1099,138,2016,18094
1100,138,2010,17885
1101,138,2013,18035
1102,138,2017,18165
1103,138,2015,18016
1104,138,2012,18023
1105,139,2015,44301
1106,139,2014,43772
1107,139,2010,42200
1108,139,2012,43208
1109,139,2013,43145
1110,139,2017,45053
1111,139,2016,44715
1112,139,2011,42751
1113,140,2016,22026
1114,140,2011,22490
1115,140,2012,22349
1116,140,2015,22103
1117,140,2013,22430
1118,140,2014,22348
1119,140,2010,22599
1120,140,2017,21861
1121,141,2010,33227
1122,141,2012,33492
1123,141,2017,33574
1124,141,2016,33446
1125,141,2015,33478
1126,141,2014,33396
1127,141,2011,33129
1128,141,2013,33506
1129,142,2016,13438
1130,142,2011,13821
1131,142,2017,13478
1132,142,2010,13808
1133,142,2012,13685
1134,142,2015,13375
1135,142,2013,13555
1136,142,2014,13516
1137,143,2013,36834
1138,143,2017,37504
1139,143,2010,36804
1140,143,2016,37094
1141,143,2012,36917
1142,143,2014,37043
1143,143,2015,37010
1144,143,2011,36846
1145,144,2017,13686
1146,144,2014,13547
1147,144,2011,13567
1148,144,2016,13490
1149,144,2013,13400
1150,144,2012,13529
1151,144,2010,13723
1152,144,2015,13480
1153,145,2013,17730
1154,145,2011,17884
1155,145,2017,17135
1156,145,2014,17595
1157,145,2010,18056
1158,145,2016,17309
1159,145,2015,17376
1160,145,2012,17679
1161,146,2011,76008
1162,146,2012,74604
1163,146,2017,69115
1164,146,2010,77326
1165,146,2016,70342
1166,146,2013,73163
1167,146,2014,72422
1168,146,2015,71822
1169,147,2012,25879
1170,147,2011,25641
1171,147,2014,25972
1172,147,2010,25551
1173,147,2016,26225
1174,147,2017,26552
1175,147,2013,25901
1176,147,2015,26126
1177,148,2015,7016
1178,148,2013,7284
1179,148,2016,6928
1180,148,2017,6862
1181,148,2011,7533
1182,148,2012,7448
1183,148,2014,7163
1184,148,2010,7647
1185,149,2013,17050
1186,149,2017,16525
1187,149,2016,16639
1188,149,2010,17517
1189,149,2015,16700
1190,149,2012,17037
1191,149,2011,17276
1192,149,2014,16970
1193,150,2017,9176
1194,150,2016,9360
1195,150,2015,9679
1196,150,2013,10012
1197,150,2012,10187
1198,150,2010,10393
1199,150,2011,10291
1200,150,2014,9844
1201,151,2011,14336
1202,151,2012,14177
1203,151,2014,14031
1204,151,2015,13877
1205,151,2017,13646
1206,151,2016,13810
1207,151,2010,14089
1208,151,2013,14059
1209,152,2010,13131
1210,152,2016,12430
1211,152,2017,12359
1212,152,2014,12522
1213,152,2011,12944
1214,152,2013,12741
1215,152,2015,12420
1216,152,2012,12917
1217,153,2015,21713
1218,153,2013,22011
1219,153,2010,22298
1220,153,2011,22229
1221,153,2017,21722
1222,153,2014,21849
1223,153,2016,21713
1224,153,2012,21909
1225,154,2015,71268
1226,154,2010,68711
1227,154,2011,69458
1228,154,2016,71757
1229,154,2012,70013
1230,154,2013,70651
1231,154,2017,72898
1232,154,2014,71264
1233,155,2013,15674
1234,155,2012,15590
1235,155,2016,16105
1236,155,2014,15721
1237,155,2010,15684
1238,155,2011,15656
1239,155,2015,15696
1240,155,2017,16339
1241,156,2017,16428
1242,156,2012,16619
1243,156,2014,16422
1244,156,2011,16673
1245,156,2015,16209
1246,156,2016,16369
1247,156,2010,16667
1248,156,2013,16442
1249,157,2014,43569
1250,157,2016,43874
1251,157,2015,43919
1252,157,2012,43653
1253,157,2017,43984
1254,157,2013,43456
1255,157,2011,43751
1256,157,2010,43558
1257,158,2013,44676
1258,158,2010,46391
1259,158,2014,44232
1260,158,2011,46011
1261,158,2015,43717
1262,158,2016,42885
1263,158,2012,45537
1264,158,2017,42159
1265,159,2016,7235
1266,159,2017,7085
1267,159,2012,7853
1268,159,2013,7690
1269,159,2014,7635
1270,159,2011,8098
1271,159,2010,8138
1272,159,2015,7453
1273,160,2017,8919
1274,160,2012,9336
1275,160,2013,9249
1276,160,2010,9506
1277,160,2014,9155
1278,160,2011,9397
1279,160,2016,8949
1280,160,2015,9022
1281,161,2015,8515
1282,161,2011,9005
1283,161,2010,8995
1284,161,2014,8651
1285,161,2017,8327
1286,161,2013,8774
1287,161,2016,8374
1288,161,2012,8907
1289,162,2014,7878
1290,162,2011,8262
1291,162,2017,7828
1292,162,2016,7869
1293,162,2015,7860
1294,162,2013,8054
1295,162,2012,8062
1296,162,2010,8316
1297,163,2012,25388
1298,163,2016,24019
1299,163,2010,26040
1300,163,2013,24941
1301,163,2014,24750
1302,163,2017,23868
1303,163,2011,25728
1304,163,2015,24312
1305,164,2014,10352
1306,164,2016,10273
1307,164,2017,10348
1308,164,2011,10377
1309,164,2015,10299
1310,164,2010,10441
1311,164,2012,10321
1312,164,2013,10329
1313,165,2011,21405
1314,165,2010,21675
1315,165,2013,20443
1316,165,2012,20740
1317,165,2017,18572
1318,165,2014,19962
1319,165,2016,19050
1320,165,2015,19562
1321,166,2017,10726
1322,166,2012,11248
1323,166,2011,11232
1324,166,2013,11110
1325,166,2016,10817
1326,166,2014,10982
1327,166,2010,11262
1328,166,2015,10830
1329,167,2015,24010
1330,167,2011,24440
1331,167,2014,24144
1332,167,2012,24282
1333,167,2016,24008
1334,167,2017,24154
1335,167,2010,24518
1336,167,2013,24172
1337,168,2011,20554
1338,168,2016,20141
1339,168,2013,20344
1340,168,2015,20203
1341,168,2012,20416
1342,168,2010,20669
1343,168,2017,20118
1344,168,2014,20253
1345,169,2013,62542
1346,169,2017,63835
1347,169,2010,62105
1348,169,2016,63852
1349,169,2011,62654
1350,169,2014,63073
1351,169,2015,63559
1352,169,2012,62576
1353,170,2015,8301
1354,170,2011,8600
1355,170,2014,8349
1356,170,2016,8271
1357,170,2017,8248
1358,170,2012,8484
1359,170,2013,8377
